PFId,PrjCode,ClstAgg,ClstPrct,AdmLocTypeIdAgg,AdmLoc1,AdmLoc2,AdmLoc3,AdmLoc4,AdmLoc5,AdmLoc6,AdmLocBenClustAgg1,AdmLocBenClustAgg2,AdmLocBenClustAgg3,AdmLocBenClustAgg4,AdmLocBenClustAgg5,AdmLocBenClustAgg6,AdmLocCord1,AdmLocCord2,AdmLocCord3,AdmLocCord4,AdmLocCord5,AdmLocCord6,AdmLocClustBdg1,AdmLocClustBdg2,AdmLocClustBdg3,AdmLocClustBdg4,AdmLocClustBdg5,AdmLocClustBdg6,AYr
15,CBPF-SUD-26-R-INGO-39065,4|||11,50.00|||50.00,69##70##,Red Sea,Port Sudan,,,,,14220##16700##18830##20770|||66895##70830##125920##129855,14220##16700##18830##20770|||66895##70830##125920##129855,,,,,"19.45560630,35.21484690","19.58958400,37.21520300",,,,,3000000.00|||3000000.00,3000000.00|||3000000.00,,,,,2026
15,CBPF-SUD-26-R-INGO-39067,7|||9,50.00|||50.00,69##70##,East Darfur,Ed Daein,,,,,77673##80842##66165##68866|||20000##40000##13950##17050,77673##80842##66165##68866|||20000##40000##13950##17050,,,,,"14.37827470,24.90422080","11.42654100,26.14930600",,,,,3000000.00|||3000000.00,3000000.00|||3000000.00,,,,,2026
15,CBPF-SUD-26-R-INGO-NSFT-39201,15,100.00,502##503##,North Darfur,Dar As Salam,,,,,1450##5073##2899##5074,1450##5073##2899##5074,,,,,"16.21756860,25.55651778","13.18360516,25.31964381",,,,,1000000.00,1000000.00,,,,,2026
15,CBPF-SUD-26-R-INGO-NSFT-39201,15,100.00,502##503##,North Darfur,Tawila,,,,,1120##3921##2242##3921,1120##3921##2242##3921,,,,,"16.21756860,25.55651778","13.35126554,24.85670425",,,,,500000.00,500000.00,,,,,2026
15,CBPF-SUD-26-R-INGO-NSFT-39201,15,100.00,502##503##,North Kordofan,Ar Rahad,,,,,500##1750##1000##1750,500##1750##1000##1750,,,,,"14.84772557,29.76169821","12.75190237,30.66524444",,,,,350000.00,350000.00,,,,,2026
15,CBPF-SUD-26-R-INGO-NSFT-39201,15,100.00,502##503##,North Kordofan,Sheikan,,,,,1410##4936##2820##4936,1410##4936##2820##4936,,,,,"14.84772557,29.76169821","13.07492390,30.06185927",,,,,950000.00,950000.00,,,,,2026
15,CBPF-SUD-26-R-INGO-NSFT-39201,15,100.00,502##503##,South Kordofan,Abu Jubayhah,,,,,246##863##499##890,246##863##499##890,,,,,"11.29357499,30.84848735","11.14838806,31.72541459",,,,,550000.00,550000.00,,,,,2026
15,CBPF-SUD-26-R-INGO-NSFT-39201,15,100.00,502##503##,South Kordofan,Ar Rashad,,,,,210##735##420##735,210##735##420##735,,,,,"11.29357499,30.84848735","11.78550243,31.09187345",,,,,150000.00,150000.00,,,,,2026
15,CBPF-SUD-26-R-INGO-NSFT-39201,15,100.00,502##503##,South Kordofan,Dilling,,,,,200##700##400##700,200##700##400##700,,,,,"11.29357499,30.84848735","11.93187788,29.52620547",,,,,150000.00,150000.00,,,,,2026
15,CBPF-SUD-26-R-INGO-NSFT-39201,15,100.00,502##503##,White Nile,Aj Jabalain,,,,,760##2660##1520##2660,760##2660##1520##2660,,,,,"13.35937517,32.31694533","12.67449498,32.96769271",,,,,550000.00,550000.00,,,,,2026
