ID,ActivityName,CommClstrId,Year
1,(Global) (C-CA1) Ensure establishment and improvement of camps or communal settlements and basic infrastructure to facilitate the provision of life-saving assistance,1,2026
2,"(Global) (C-CA1) Provision, distribution and replenishment of quick turnover emergency stockpiles",1,2026
3,"(Global) (C-CA2) Initial profiling and registration of populations in communal settings, camps, collective centers and other sites",1,2026
4,(Global) (C-CA2) Refresher training and quick orientation for direct service providers and community representatives,1,2026
5,(Global) (C-CA3) Assistance in preparing for and facilitating immediate relocation or voluntary return of affected people,1,2026
6,"(Global) (C-CA3) Community engagement with affected communities including providing information, participation in decision-making and feedback and complaint mechanism",1,2026
7,"(Global) (C-CA4) Establishment of intra- and inter-site coordination structures, including information management systems in camps/communal settlements and across them (including using area-based approaches) to support, monitor and coordinate delivery of essential life-saving services in such locations.This can include building awareness and capacity of key stakeholders, including community leaders, working directly in the management of displacement location/settlements.",1,2026
8,"(Global) (C-CA4) Establishment of participatory and accountable site management systems that ensure the immediate protection and assistance needs of affected populations are addressed. This can include the establishment of effective two-way communication and information channels, feedback mechanisms and referral information to allow for meaningful participation, awareness of and accountability to the affected population.",1,2026
9,(Global) (C-CA1) Provision of common technology services and solutions to establish or enable two-way communications between the affected population and the response community,4,2026
10,(Global) (C-CA1) Provision of common technology services such as emergency telecommunications in support of the humanitarian community and governments as well as life-saving communications services to affected people in an emergency,4,2026
11,"(Global) (C-CA1) Provision, distribution and replenishment of quick turnover emergency stockpiles",4,2026
12,(Global) (C-CA2) Refresher training and quick orientation for direct service providers and community representatives,4,2026
13,"(Global) (C-CA3) Community engagement with affected communities including providing information, participation in decision-making and feedback and complaint mechanism",4,2026
14,"(Global) (C-CA1) Provision, distribution and replenishment of quick turnover emergency stockpiles",6,2026
15,"(Global) (C-CA1) Transport, storage and handling in support of common humanitarian operations for example by air, road or water, including personnel and cargo, and for evacuations",6,2026
16,(Global) (C-CA2) Logistics activities to overcome constraints affecting the supply chain of multiple humanitarian organizations. This can include for example emergency bridge or road repairs.,6,2026
17,(Global) (C-CA2) Refresher training and quick orientation for direct service providers and community representatives,6,2026
18,"(Global) (C-CA3) Community engagement with affected communities including providing information, participation in decision-making and feedback and complaint mechanism",6,2026
19,"(Global) (C-CA1) Provision, distribution and replenishment of quick turnover emergency stockpiles",9,2026
20,(Global) (C-CA10) School feeding programmes,9,2026
21,(Global) (C-CA2) Refresher training and quick orientation for direct service providers and community representatives,9,2026
22,"(Global) (C-CA3) Community engagement with affected communities including providing information, participation in decision-making and feedback and complaint mechanism",9,2026
23,(Global) (C-CA3) Distribution of general food assistance and targeted food assistance,9,2026
24,"(Global) (C-CA4) Provision of agricultural inputs (such as seeds, seedlings, fertilizers, tools, fishing kits and equipment) in emergency contexts to restore (and maintain, in case of anticipatory action) food security and production capacity",9,2026
25,"(Global) (C-CA5) Promotion of productive animal survival in humanitarian emergency situations. This can include emergency vaccinations, initial re-stocking, de- stocking, and water and supplementary feeding for animals.",9,2026
26,"(Global) (C-CA6) Emergency support for the protection of vulnerable livelihoods in IDP/refugee camps or communal settlements. This can include micro- gardening, micro-livestock activities, efficient fuel stoves for cooking (Safe Access to Fuel and Energy or “SAFE”), reducing risks and mitigating environmental degradation.",9,2026
27,(Global) (C-CA7) Initial inputs for control of trans-boundary or country-contained plant and pest diseases severely affecting food security or to control the spread of livelihood and human life-threatening epizootic diseases,9,2026
28,"(Global) (C-CA8) Provision of assets (including through food and cash assistance for assets initiatives), with a direct and immediate link with restoring and protecting food security. This can include the establishment of emergency embankments, spot repair of agricultural infrastructure and other emergency inputs and assets.",9,2026
29,"(Global) (C-CA9) Support for storage, transformation and marketing of essential food production",9,2026
30,"(Global) (C-CA1) Provision, distribution and replenishment of quick turnover emergency stockpiles",10,2026
31,(Global) (C-CA10) School feeding programmes,10,2026
32,(Global) (C-CA2) Refresher training and quick orientation for direct service providers and community representatives,10,2026
33,"(Global) (C-CA3) Community engagement with affected communities including providing information, participation in decision-making and feedback and complaint mechanism",10,2026
34,(Global) (C-CA3) Distribution of general food assistance and targeted food assistance,10,2026
35,"(Global) (C-CA4) Provision of agricultural inputs (such as seeds, seedlings, fertilizers, tools, fishing kits and equipment) in emergency contexts to restore (and maintain, in case of anticipatory action) food security and production capacity",10,2026
36,"(Global) (C-CA5) Promotion of productive animal survival in humanitarian emergency situations. This can include emergency vaccinations, initial re-stocking, de- stocking, and water and supplementary feeding for animals.",10,2026
37,"(Global) (C-CA6) Emergency support for the protection of vulnerable livelihoods in IDP/refugee camps or communal settlements. This can include micro- gardening, micro-livestock activities, efficient fuel stoves for cooking (Safe Access to Fuel and Energy or “SAFE”), reducing risks and mitigating environmental degradation.",10,2026
38,(Global) (C-CA7) Initial inputs for control of trans-boundary or country-contained plant and pest diseases severely affecting food security or to control the spread of livelihood and human life-threatening epizootic diseases,10,2026
39,"(Global) (C-CA8) Provision of assets (including through food and cash assistance for assets initiatives), with a direct and immediate link with restoring and protecting food security. This can include the establishment of emergency embankments, spot repair of agricultural infrastructure and other emergency inputs and assets.",10,2026
40,"(Global) (C-CA9) Support for storage, transformation and marketing of essential food production",10,2026
