PFId,PrjCode,ClstAgg,ClstPrct,AdmLocTypeIdAgg,AdmLoc1,AdmLoc2,AdmLoc3,AdmLoc4,AdmLoc5,AdmLoc6,AdmLocBenClustAgg1,AdmLocBenClustAgg2,AdmLocBenClustAgg3,AdmLocBenClustAgg4,AdmLocBenClustAgg5,AdmLocBenClustAgg6,AdmLocCord1,AdmLocCord2,AdmLocCord3,AdmLocCord4,AdmLocCord5,AdmLocCord6,AdmLocClustBdg1,AdmLocClustBdg2,AdmLocClustBdg3,AdmLocClustBdg4,AdmLocClustBdg5,AdmLocClustBdg6,AYr,AdmLocBenReachedClustAgg1,AdmLocBenReachedClustAgg2,AdmLocBenReachedClustAgg3,AdmLocBenReachedClustAgg4,AdmLocBenReachedClustAgg5,AdmLocBenReachedClustAgg6
23,CBPF-AFG-23-R-INGO-26924,6,100.00,308##309##,Hirat,Gulran,,,,,2669##1836##2252##1585,2669##1836##2252##1585,,,,,"34.34194400,62.20305600","34.94080000,61.77870000",,,,,233380.00,233380.00,,,,,2023,1675##1492##2233##2151,1675##1492##2233##2151,,,,
23,CBPF-AFG-23-R-INGO-26924,6,100.00,308##309##,Hirat,Herat,,,,,2669##1836##2252##1585,2669##1836##2252##1585,,,,,"34.34194400,62.20305600","34.34580000,62.20790000",,,,,233310.00,233310.00,,,,,2023,2240##2333##2412##2713,2240##2333##2412##2713,,,,
23,CBPF-AFG-23-R-INGO-26924,6,100.00,308##309##,Hirat,Injil,,,,,2668##1835##2253##1585,2668##1835##2253##1585,,,,,"34.34194400,62.20305600","34.32700000,62.21850000",,,,,233310.00,233310.00,,,,,2023,1842##731##2911##2292,1842##731##2911##2292,,,,
23,CBPF-AFG-23-R-INGO-26954,6,100.00,308##309##,Hirat,Gulran,,,,,3360##3640##3220##3780,3360##3640##3220##3780,,,,,"34.34194400,62.20305600","34.94080000,61.77870000",,,,,199920.51,199920.51,,,,,2023,2371##2297##3928##4045,2371##2297##3928##4045,,,,
23,CBPF-AFG-23-R-INGO-26954,6,100.00,308##309##,Hirat,Injil,,,,,1680##1820##1610##1890,1680##1820##1610##1890,,,,,"34.34194400,62.20305600","34.32700000,62.21850000",,,,,99960.26,99960.26,,,,,2023,1196##1430##1751##1784,1196##1430##1751##1784,,,,
23,CBPF-AFG-23-R-INGO-26954,6,100.00,308##309##,Hirat,Kushk,,,,,3360##3640##3220##3780,3360##3640##3220##3780,,,,,"34.34194400,62.20305600","34.78150000,62.12370000",,,,,199920.51,199920.51,,,,,2023,2136##2694##3935##4209,2136##2694##3935##4209,,,,
23,CBPF-AFG-23-R-INGO-26956,7,100.00,308##309##,Hirat,Injil,,,,,1621##1620##1080##1080,1621##1620##1080##1080,,,,,"34.34194400,62.20305600","34.32700000,62.21850000",,,,,314117.91,314117.91,,,,,2023,4167##2018##881##532,4167##2018##881##532,,,,
23,CBPF-AFG-23-R-INGO-26956,7,100.00,308##309##,Hirat,Zindajan,,,,,1620##1620##1080##1079,1620##1620##1080##1079,,,,,"34.34194400,62.20305600","34.34410000,61.72950000",,,,,314117.91,314117.91,,,,,2023,2559##3018##532##590,2559##3018##532##590,,,,
23,CBPF-AFG-23-R-NGO-25914,6,100.00,308##309##,Balkh,Balkh,,,,,550##825##1236##1236,550##825##1236##1236,,,,,"36.89091580,67.18944880","36.75800000,66.89300000",,,,,122263.50,122263.50,,,,,2023,600##857##1257##1336,600##857##1257##1336,,,,
23,CBPF-AFG-23-R-NGO-25914,6,100.00,308##309##,Balkh,Chemtal,,,,,550##825##1238##1238,550##825##1238##1238,,,,,"36.89091580,67.18944880","36.66090000,66.77000000",,,,,122263.50,122263.50,,,,,2023,755##898##1573##1333,755##898##1573##1333,,,,
23,CBPF-AFG-23-R-NGO-25914,6,100.00,308##309##,Balkh,Nahr-e- Shahi,,,,,550##825##1238##1238,550##825##1238##1238,,,,,"36.89091580,67.18944880","36.70900000,67.09500000",,,,,122263.50,122263.50,,,,,2023,822##950##1331##1272,822##950##1331##1272,,,,
23,CBPF-AFG-23-R-NGO-25914,6,100.00,308##309##,Balkh,Sholgareh,,,,,550##825##1238##1238,550##825##1238##1238,,,,,"36.89091580,67.18944880","36.34210000,66.87890000",,,,,122263.50,122263.50,,,,,2023,651##895##1215##1141,651##895##1215##1141,,,,
23,CBPF-AFG-23-R-NGO-25918,6,100.00,308##309##,Parwan,Jabalussaraj,,,,,1949##1949##2137##2120,1949##1949##2137##2120,,,,,"34.96309770,68.81088490","35.11500000,69.24070000",,,,,245338.70,245338.70,,,,,2023,1787##1736##3368##3202,1787##1736##3368##3202,,,,
23,CBPF-AFG-23-R-NGO-25918,6,100.00,308##309##,Parwan,Koh-e- Safi,,,,,1949##1949##2137##2120,1949##1949##2137##2120,,,,,"34.96309770,68.81088490","34.85870000,69.39810000",,,,,245338.70,245338.70,,,,,2023,1930##1940##3612##3450,1930##1940##3612##3450,,,,
23,CBPF-AFG-23-R-NGO-25919,4,100.00,308##309##,Nangarhar,Achin,,,,,222##213##447##423,222##213##447##423,,,,,"34.17183130,70.62167940","34.12270000,70.71220000",,,,,209776.71,209776.71,,,,,2023,253##243##420##380,253##243##420##380,,,,
23,CBPF-AFG-23-R-NGO-25919,4,100.00,308##309##,Nangarhar,Dehbala,,,,,222##213##447##423,222##213##447##423,,,,,"34.17183130,70.62167940","34.15640000,70.44520000",,,,,209776.71,209776.71,,,,,2023,262##275##420##390,262##275##420##390,,,,
23,CBPF-AFG-23-R-NGO-25919,4,100.00,308##309##,Nangarhar,Pachieragam,,,,,148##142##298##282,148##142##298##282,,,,,"34.17183130,70.62167940","34.20330000,70.28420000",,,,,139851.14,139851.14,,,,,2023,175##191##263##248,175##191##263##248,,,,
23,CBPF-AFG-23-R-NGO-25919,4,100.00,308##309##,Nangarhar,Sherzad,,,,,148##142##298##282,148##142##298##282,,,,,"34.17183130,70.62167940","34.24910000,69.99220000",,,,,139851.14,139851.14,,,,,2023,170##190##275##245,170##190##275##245,,,,
23,CBPF-AFG-23-R-NGO-25932,3,100.00,308##309##,Kunduz,Aliabad,,,,,22##19##718##718,22##19##718##718,,,,,"36.85993070,68.71549750","36.49730000,68.90980000",,,,,127739.54,127739.54,,,,,2023,22##19##718##718,22##19##718##718,,,,
23,CBPF-AFG-23-R-NGO-25932,3,100.00,308##309##,Kunduz,Chardarah,,,,,31##17##840##840,31##17##840##840,,,,,"36.85993070,68.71549750","36.69240000,68.80550000",,,,,149577.91,149577.91,,,,,2023,31##17##840##840,31##17##840##840,,,,
23,CBPF-AFG-23-R-NGO-25932,3,100.00,308##309##,Kunduz,Khanabad,,,,,8##13##348##348,8##13##348##348,,,,,"36.85993070,68.71549750","36.68230000,69.10860000",,,,,65465.27,65465.27,,,,,2023,8##13##348##348,8##13##348##348,,,,
